timestamp_machine,timestamp_google,rr,device,dateTime
1646146048541,1646146048525,803,ED:68:09:2B:C6:5F,2022-03-01 15:47:28
1646146049371,1646146049354,816,ED:68:09:2B:C6:5F,2022-03-01 15:47:29
1646146050394,1646146050376,823,ED:68:09:2B:C6:5F,2022-03-01 15:47:30
1646146050394,1646146050376,820,ED:68:09:2B:C6:5F,2022-03-01 15:47:30
1646146051412,1646146051396,819,ED:68:09:2B:C6:5F,2022-03-01 15:47:31
1646146052376,1646146052359,820,ED:68:09:2B:C6:5F,2022-03-01 15:47:32
1646146053849,1646146053833,815,ED:68:09:2B:C6:5F,2022-03-01 15:47:33
1646146055844,1646146055827,816,ED:68:09:2B:C6:5F,2022-03-01 15:47:35
1646146055844,1646146055827,811,ED:68:09:2B:C6:5F,2022-03-01 15:47:35
1646146055853,1646146055837,820,ED:68:09:2B:C6:5F,2022-03-01 15:47:35
1646146059898,1646146059881,819,ED:68:09:2B:C6:5F,2022-03-01 15:47:39
1646146059909,1646146059892,800,ED:68:09:2B:C6:5F,2022-03-01 15:47:39
1646146059919,1646146059903,787,ED:68:09:2B:C6:5F,2022-03-01 15:47:39
1646146059919,1646146059903,784,ED:68:09:2B:C6:5F,2022-03-01 15:47:39
1646146060830,1646146060814,779,ED:68:09:2B:C6:5F,2022-03-01 15:47:40
1646146060840,1646146060824,780,ED:68:09:2B:C6:5F,2022-03-01 15:47:40
1646146063891,1646146063872,772,ED:68:09:2B:C6:5F,2022-03-01 15:47:43
1646146063891,1646146063872,755,ED:68:09:2B:C6:5F,2022-03-01 15:47:43
1646146064824,1646146064807,740,ED:68:09:2B:C6:5F,2022-03-01 15:47:44
1646146064837,1646146064820,735,ED:68:09:2B:C6:5F,2022-03-01 15:47:44
1646146067879,1646146067862,752,ED:68:09:2B:C6:5F,2022-03-01 15:47:47
1646146067879,1646146067862,755,ED:68:09:2B:C6:5F,2022-03-01 15:47:47
1646146067891,1646146067875,760,ED:68:09:2B:C6:5F,2022-03-01 15:47:47
1646146067902,1646146067886,763,ED:68:09:2B:C6:5F,2022-03-01 15:47:47
1646146069809,1646146069792,760,ED:68:09:2B:C6:5F,2022-03-01 15:47:49
1646146069809,1646146069792,763,ED:68:09:2B:C6:5F,2022-03-01 15:47:49
1646146071804,1646146071788,752,ED:68:09:2B:C6:5F,2022-03-01 15:47:51
1646146072801,1646146072785,756,ED:68:09:2B:C6:5F,2022-03-01 15:47:52
1646146072801,1646146072785,767,ED:68:09:2B:C6:5F,2022-03-01 15:47:52
1646146072814,1646146072798,772,ED:68:09:2B:C6:5F,2022-03-01 15:47:52
1646146073799,1646146073783,779,ED:68:09:2B:C6:5F,2022-03-01 15:47:53
1646146075796,1646146075777,780,ED:68:09:2B:C6:5F,2022-03-01 15:47:55
1646146075806,1646146075790,791,ED:68:09:2B:C6:5F,2022-03-01 15:47:55
1646146075806,1646146075790,784,ED:68:09:2B:C6:5F,2022-03-01 15:47:55
1646146076792,1646146076776,783,ED:68:09:2B:C6:5F,2022-03-01 15:47:56
1646146076803,1646146076787,796,ED:68:09:2B:C6:5F,2022-03-01 15:47:56
1646146076815,1646146076798,795,ED:68:09:2B:C6:5F,2022-03-01 15:47:56
1646146076815,1646146076798,792,ED:68:09:2B:C6:5F,2022-03-01 15:47:56
1646146078786,1646146078770,795,ED:68:09:2B:C6:5F,2022-03-01 15:47:58
1646146078797,1646146078781,792,ED:68:09:2B:C6:5F,2022-03-01 15:47:58
1646146080782,1646146080767,787,ED:68:09:2B:C6:5F,2022-03-01 15:48:00
1646146080782,1646146080767,788,ED:68:09:2B:C6:5F,2022-03-01 15:48:00
1646146084837,1646146084818,755,ED:68:09:2B:C6:5F,2022-03-01 15:48:04
1646146085769,1646146085753,780,ED:68:09:2B:C6:5F,2022-03-01 15:48:05
1646146085779,1646146085762,755,ED:68:09:2B:C6:5F,2022-03-01 15:48:05
1646146085779,1646146085762,760,ED:68:09:2B:C6:5F,2022-03-01 15:48:05
1646146089823,1646146089806,760,ED:68:09:2B:C6:5F,2022-03-01 15:48:09
1646146089833,1646146089818,763,ED:68:09:2B:C6:5F,2022-03-01 15:48:09
1646146089845,1646146089829,764,ED:68:09:2B:C6:5F,2022-03-01 15:48:09
1646146089845,1646146089829,759,ED:68:09:2B:C6:5F,2022-03-01 15:48:09
1646146090756,1646146090740,756,ED:68:09:2B:C6:5F,2022-03-01 15:48:10
1646146090770,1646146090754,759,ED:68:09:2B:C6:5F,2022-03-01 15:48:10
1646146090781,1646146090765,760,ED:68:09:2B:C6:5F,2022-03-01 15:48:10
1646146090781,1646146090765,759,ED:68:09:2B:C6:5F,2022-03-01 15:48:10
1646146090792,1646146090776,764,ED:68:09:2B:C6:5F,2022-03-01 15:48:10
1646146090803,1646146090787,763,ED:68:09:2B:C6:5F,2022-03-01 15:48:10
